Companies,Companies_full,Website,Address,Location,
Billard Leece Partnership,Billard Leece Partnership,https://www.blp.com.au/,"Level 20/485 La Trobe Street, Melbourne, Victoria 3000",Melbourne,
,Billard Leece Partnership,https://www.blp.com.au/,"Level 6/72-80 Cooper Street, Surry Hills, NSW 2010",Sydney,
,Billard Leece Partnership,https://www.blp.com.au/,"HQ, Level 6, 520 Wickham St, Fortitude Valley QLD 4006",Brisbane,
Bio101 Group Pty Ltd,Bio101 Group Pty Ltd,https://www.bio101.com/,"Suite 201/697 Burke Road, Camberwell VIC 3124, Australia",Melbourne,
"Bio21 Molecular Science & Biotechnology Institute, University of Melbourne","Bio21 Molecular Science & Biotechnology Institute, University of Melbourne",https://www.bio21.unimelb.edu.au/,"30 Flemington Road, Parkville, Melbourne, Victoria",Melbourne,
Biocina,Biocina,https://biocina.com/,"8 Dalgleish St Thebarton, South Australia 5031",Adelaide,
BioCurate Pty Ltd,BioCurate Pty Ltd,http://www.biocurate.com/,"Level 2, 700 Swanston Street, Carlton Victoria 3053, Australia",Melbourne,
BioDiem Ltd,BioDiem Ltd,http://www.biodiem.com/,"Level 4, 100 Albert Road, South Melbourne, Victoria 3205",Melbourne,
Biogen Inc,Biogen Inc,https://www.biogen.com/,"Level 4, 2 Banfield Road, Macquarie Park NSW 2113 Australia",Sydney,
Biointelect Pty Ltd,Biointelect Pty Ltd,http://www.biointelect.com/,"Level 4, 143 Macquarie Street, Sydney NSW Australia 2000",Sydney,
BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical Inc.,https://www.biomarin.com/,"BioMarin Pharmaceutical Australia Pty Ltd, 119 Willoughby Rd, Crows Nest, NSW 2065",,
BiomeBank,BiomeBank,https://www.biomebank.com/,,,
BioMelbourne Network,BioMelbourne Network,http://www.biomelbourne.org/,"Level 6, HWT Tower, 40 City Road, Southbank VIC 3006",Melbourne,
biomerieux,biomerieux,https://www.biomerieux.com/,"Ground Floor, 2 Richardson Place North Ryde, NSW 2113",Sydney,
Bionics Queensland,Bionics Queensland,http://www.bionicsqueensland.com.au/,,,
BioOra,BioOra,https://bioora.com/,"Level 1, 38 Waring Taylor Street, Wellington 6011, New Zealand",Wellington,Andi Grant
Bio-Rad Laboratories Pty Ltd,Bio-Rad Laboratories Pty Ltd,https://www.bio-rad.com/,"Unit 1A, 62 Ferndell Street, South Granville NSW 2142 Australia",Sydney,
Bioscience Managers Pty Ltd,Bioscience Managers Pty Ltd,https://biosciencemanagers.com/,"Level 5, 45 William Street, MELBOURNE VIC 3000",Melbourne,
Biotech Daily,Biotech Daily,http://www.biotechdaily.com.au/,"PO Box 5000, Carlton, Victoria, Australia 3053",Melbourne,
BIOTech New Zealand,BIOTech New Zealand,https://biotechnz.org.nz/,BIOTech New Zealand c/o NZTech PO Box 302469 North Harbour Auckland 0751,Auckland,
BioTech Primer Inc.,BioTech Primer Inc.,http://biotechprimer.com/,,,
Biotron Limited,Biotron Limited,http://www.biotron.com.au/,"Suite 3.3, 56 Delhi Road, North Ryde NSW 2113, Australia",Sydney,
Bioviros (NZ - not TGA),Bioviros (NZ - not TGA),https://bioviros.com/,"Floor 1, 38 Waring Taylor Street, Wellington 6011",New Zealand,
,Bioviros (NZ - not TGA),https://bioviros.com/,"7310 Miramar Road, California 92126 USA",,
Blue Print Life Science Group,Blue Print Life Science Group,http://www.bplifescience.com/,"1180 North Town Center Drive, Suite 100, Las Vegas, Nevada 89144",Nevada,
Brandon Capital,Brandon Capital,http://www.brandoncapital.vc/,"Level 9, 31 Queen Street, Melbourne VIC 3000",Melbourne,
,Brandon Capital,http://www.brandoncapital.vc/,"Suite 2.05, 1 York Street, Sydney NSW 2000",Sydney,
,Brandon Capital,http://www.brandoncapital.vc/,"1 Letterman Ave, Suite C3-330, San Francisco, CA 94129",San Francisco,
,Brandon Capital,http://www.brandoncapital.vc/,"The Gridiron Building, 1 Pancras Square, Kings Cross, London N1C 4AG, United Kingdom",London,
BR-Angels Pty Ltd,BR-Angels Pty Ltd,https://brangels.global/,"538 Funchal Street – 16th Floor, Vila Olimpia – 04551-060, Sao Paulo – SP",Sao Paulo,
Bridge Investment Research,Bridge Investment Research,https://chriskallos.com.au/,,,
Bristol Myers Squibb (Australia) Pty Ltd,Bristol Myers Squibb (Australia) Pty Ltd,http://www.bmsa.com.au/,"Level 2, 4 Nexus Court, Mulgrave VIC 3170",Melbourne,
Brooker Consulting,Brooker Consulting,http://www.brookerconsulting.com.au/,"Level 25, 500 Collins Street, Melbourne VIC 3000",Melbourne,
BSI Group ANZ Pty Ltd,BSI Group ANZ Pty Ltd,https://www.bsigroup.com/en-AU/Medical-Devices/,"Suite 1, Level 1, 54 Waterloo Road, Macquarie Park NSW 2113, Australia",Sydney,
Burnet Institute,Burnet Institute,http://www.burnet.edu.au/,"85 Commercial Road, Melbourne, Victoria 3004, Australia",Melbourne,
Business Events Sydney,Business Events Sydney,http://www.businesseventssydney.com.au/,"Level 20, 100 William Street, Sydney, NSW, 2011, Australia",Sydney,
Cambium Bio Limited,Cambium Bio Limited,https://www.cambium.bio/,,,
Canary Regulatory Affairs,Canary Regulatory Affairs,https://canaryregulatory.com/,"Level 17, 31 Queen St, Melbourne, VIC 3000",Melbourne,
Cancer Trials Australia,Cancer Trials Australia,http://www.cancertrialsaustralia.com/,"305 Grattan Street, Melbourne, VIC, 3000",Melbourne,
Cancure,Cancure,https://cancure.com/,,Gold Coast,
Carina Biotech,Carina Biotech,http://carinabiotech.com,,Adelaide,
Carina Biotech Limited,Carina Biotech Limited,http://www.carinabiotech.com/,"Level 2, Ian Wark (IW) Building, UniSA Mawson Lakes Campus, Mawson Lakes 5095, South Australia",Adelaide,
Cartherics,Cartherics,www.cartherics.com,"12 Ferntree Place, Notting Hill VIC 3168 AUSTRALIA",Melbourne,info@cartherics.com
Catalyst Clinical Research,Catalyst Clinical Research,https://catalystcr.com/,"2528 Independence Blvd, Suite 100, Wilmington, NC 28412",Wilmington,
,Catalyst Clinical Research,https://catalystcr.com/,"6 Post Office Square, Clinton, CT 06413",Clinton,
,Catalyst Clinical Research,https://catalystcr.com/,"303 Wyman Street, Suite 300, Waltham, MA 02451",Waltham,
,Catalyst Clinical Research,https://catalystcr.com/,"Alderley Park, Block 11, Alderley Edge, SK10 4ZF, UK",,
,Catalyst Clinical Research,https://catalystcr.com/,"Schiphol Boulevard 359, 1118 BJ Schiphol, The Netherlands",,
,Catalyst Clinical Research,https://catalystcr.com/,"Second Floor, Nila Building, Technopark Campus, Thiruvananthapuram , Kerala 695581",,
,Catalyst Clinical Research,https://catalystcr.com/,"8B Tower 1, Transasia, Cyber Park Infopark, Phase 2, Kochi, Kerala 682303",,
,Catalyst Clinical Research,https://catalystcr.com/,"Office 105, Level 10, 222 Exhibition St, Melbourne, Victoria 3000",Melbourne,
CBE Pure Solutions,CBE Pure Solutions,https://cbepuresolutions.com/,"5 William Street, Ferntree Gully VIC Australia 3156 ",Melbourne,
CCRM Australia,CCRM Australia,https://ccrmaustralia.com.au/,,,
,CCRM Australia,https://ccrmaustralia.com.au/,,,
Celgene Corp,Celgene Corp,https://www.bms.com/?ReleaseID=783642,"Route 206 & Province Line Road, Princeton, New Jersey 08543",New Jersey,
"Cell & Molecular Therapies, Royal Prince Alfred Hospital","Cell & Molecular Therapies, Royal Prince Alfred Hospital",,,Sydney,
Cell & Tissue Therapies Western Australia (CTTWA),Cell & Tissue Therapies Western Australia (CTTWA),https://www.rphresearchfoundation.org.au/research-impact/cell-and-tissue-therapies-wa,"PO Box 2323, East Perth WA 6892",Perth,Zlatibor
Cell and Gene Therapy Catalyst,Cell and Gene Therapy Catalyst,https://www.ausbiotech.org/programs/australias-cell-and-gene-catalyst,,Melbourne,
Cell Innovations,Cell Innovations,https://www.cell-innovations.com.au/Directors#,"75 Crown St, Woolloomooloo NSW 2011, Australia",Melbourne,
Cell Therapies,Cell Therapies,http://www.celltherapies.com/,"Level 9, 305 Grattan Street, Melbourne, VIC,3000, Australia",Melbourne,
Cellabs Pty Ltd,Cellabs Pty Ltd,http://www.cellabs.com.au/,"7/27 Dale Street, Brookvale 2100, Sydney, NSW, AUSTRALIA",Sydney,
Cellcare,Cellcare,www.cellcare.com.au,PO Box 833 MOORABBIN VIC 3189,Melbourne,info@cellcare.com.au
Celleo,Celleo,https://celleo.com/,,,
Celosia Therapeutics,Celosia Therapeutics,https://celosiatx.com/,,,Brenton Hamdorf
Cencora PharmaLex,Cencora PharmaLex,https://www.pharmalex.com/,"Suite 4, Level 10, 1 Chandos Street, St Leonards NSW 2065, Australia",Sydney,
Centenary Institute,Centenary Institute,http://www.centenary.org.au/,"Building 93 Royal Prince Alfred Hospital, Missenden Rd Camperdown NSW 2050 Australia",Sydney,
Centre for Advanced Therapies (CAT) at Royal Perth Hospital,Centre for Advanced Therapies (CAT) at Royal Perth Hospital,,,,launch November 2023
Centre for Biopharmaceutical Excellence,Centre for Biopharmaceutical Excellence,https://cbe-ap.com.au/,"110. Level 11, 655 Elizabeth St, Melbourne 3000 VIC Australia",Melbourne,
"Centre of Excellence in Cellular Immunotherapies, Peter Mac","Centre of Excellence in Cellular Immunotherapies, Peter Mac",https://www.petermac.org/research/research-centres-and-centres-of-excellence/centre-of-excellence-in-cellular-immunotherapy,"305 Grattan St, Melbourne VIC 3052",Melbourne,"Australian IP Accelerator, Commonwealth-funded"
Cerebral Palsy Alliance,Cerebral Palsy Alliance,https://cerebralpalsy.org.au/?msclkid=edb8649fb51d11d66c74025a68224090&utm_source=bing&utm_medium=cpc&utm_campaign=TMP_Brand_Cerebral%20Palsy&utm_term=Cerebral%20Palsy%20Alliance&utm_content=Cerebral%20Palsy,"187 Allambie Road, Allambie Heights NSW 2100",Sydney,
Cerecin Australia Pty Ltd,Cerecin Australia Pty Ltd,https://cerecin.com/,"102 Fox Drive, Dandenong 3175, Victoria, Australia",Melbourne,
Certa Therapeutics,Certa Therapeutics,http://www.certatherapeutics.com/,,,
Charles river laboratories,Charles river laboratories,https://www.criver.com/microbial-solutions-facility-melbourne-australia,,,
Charles River Laboratories Australia Pty Ltd,Charles River Laboratories Australia Pty Ltd,https://www.criver.com/,,,
Children’s Medical Research Institute (CMRI),Children’s Medical Research Institute (CMRI),https://www.cmrijeansforgenes.org.au/,"214 Hawkesbury Road, Westmead NSW 2145, Australia",Sydney,
Chimeric Therapeutics Ltd,Chimeric Therapeutics Ltd,https://chimerictherapeutics.com/,,,
Chris O'Brian Lifehouse,Chris O'Brian Lifehouse,https://www.mylifehouse.org.au/,"119-143 Missenden Road, Camperdown NSW 2050 Australia",Sydney,
Chubb Insurance Australia Limited *Special member discount,Chubb Insurance Australia Limited *Special member discount,,,,
Clarity Pharmaceuticals,Clarity Pharmaceuticals,http://www.claritypharmaceuticals.com/,"4 Cornwallis Street, National Innovation Centre, Eveleigh 2015 NSW",Sydney,
Clinical Stem Cells,Clinical Stem Cells,www.clinicalstemcells.com,,,N/A
CMAX Clinical Research Pty Ltd,CMAX Clinical Research Pty Ltd,http://www.cmax.com.au/,"Ground Floor, 21-24 North Terrace, Adelaide, South Australia 5000",Adelaide,
Cochlear Limited,Cochlear Limited,https://www.cochlear.com/au/en/home,"1 University Avenue, Macquarie University, NSW, 2109, Australia",Sydney,
"Collaborative Drug Discovery, Inc","Collaborative Drug Discovery, Inc",https://www.collaborativedrug.com/,"718 7th St NW, Washington, DC 20001",Washington,
,"Collaborative Drug Discovery, Inc",https://www.collaborativedrug.com/,"Nine Hills Road, Cambridge, CB2 1GE, United Kingdom",London,
Commissioning Agents International (Australia) Pty Ltd,Commissioning Agents International (Australia) Pty Ltd,https://cagents.com/,"2601 Fortune Circle East, Suite 301B, Indianapolis, IN 46241 USA",Indianapolis,
ConnectBio,ConnectBio,https://www.connectbiopharm.com/about-us/,"12265 El Camino Real, Suite 350, San Diego, CA 92130",San Diego,
Cook Medical,Cook Medical,https://www.cookmedical.com.au/,"95 Brandl Street, Eight Mile Plains, Brisbane, QLD 4113, AUSTRALIA",Brisbane,
Corematic,Corematic,https://corematic.com.au/,"4/26 Navigator Place, Hendra QLD 4011",Brisbane,
Crux Biolabs,Crux Biolabs,http://www.cruxbiolabs.com/,"Building 21, 885 Mountain Highway, Bayswater Victoria 3153 Australia",Melbourne,
,Crux Biolabs,http://www.cruxbiolabs.com/,"Building 2A, Ground Floor, Lakes Business Park, 2-12 Lord Street, Botany NSW 2019 Australia",Sydney,
CryoPDP,CryoPDP,www.cryopdp.com,"Unit 9, 7 Meridian Place, Bella Vista 2153, Sydney NSW Australia",Sydney,
,CryoPDP,www.cryopdp.com,"24 Mallett Road, Tullamarine 3043, VIC, Melbourne Australia",Melbourne,
,CryoPDP,www.cryopdp.com,"34 Bell Are Ave, Northgate, 4013, Brisbane Australia",Brisbane,
Cryosite Ltd,Cryosite Ltd,https://cryosite.com/,"13a Ferndell Street, South Granville NSW 2142",Sydney,
CSIRO,CSIRO,http://www.csiro.au/,,,
CSL Limited,CSL Limited,http://www.csl.com.au/,"655 Elizabeth Street, Melbourne, VIC 3000 Australia",Melbourne,+61 3 9389 1911
CULTURON ,CULTURON ,https://culturon.com/,,,
Currus Biologics,Currus Biologics,https://www.currusbio.com/,"Level 9, 31 Queen St Melbourne VIC 3000",Melbourne,Sam Cobb
Curtin University,Curtin University,https://www.curtin.edu.au/,"Kent Street, Bentley Western Australia, 6102",Perth,
Curtin University - School of Pharmacy and Biomedical Sciences,Curtin University - School of Pharmacy and Biomedical Sciences,,,,
Cyban Pty Ltd,Cyban Pty Ltd,https://www.cyban.com.au/,"L18, 1 Nicholson St, East Melbourne 3002",Melbourne,
Cynata Therapeutics,Cynata Therapeutics,http://cynata.com/,"Level 3, 100 Cubitt Street, Cremorne, Victoria, 3121, AUSTRALIA",Melbourne,kilian.kelly@cynata.com
Cytiva,Cytiva,https://www.cytivalifesciences.com/en/au,,,
Datapharm Australia Pty Ltd,Datapharm Australia Pty Ltd,http://datapharmaustralia.com/,,,
Davies Collison Cave,Davies Collison Cave,http://www.davies.com.au/,"Level 15, 1 Nicholson Street, Melbourne, VIC 3000",Melbourne,
,Davies Collison Cave,,"Level 4, 7 Macquarie Place, Sydney NSW 2000",Sydney,
,Davies Collison Cave,,"Level 10, 301 Coronation Drive, Milton QLD 4064",Brisbane,
,Davies Collison Cave,,"Level 9, 2 Phillip Law Street New Acton, Canberra ACT 2601",Canberra,
,Davies Collison Cave,,"The Wentworth Building, Level 2, 300 Murray Street Mall Perth 6000",Perth,
,Davies Collison Cave,,"24 Davey Street, Hobart Tasmania 7000",Hobart,
,Davies Collison Cave,,"Q Building University of Newcastle, 16B Honeysuckle Drive, Newcastle NSW 2300",Newcastle,
,Davies Collison Cave,,"Level 30, Westpac House 91 King William Street, Adelaide SA 5000",Adelaide,
De Motu Cordis Pty Ltd,De Motu Cordis Pty Ltd,http://www.demotucordis.co/,,,
Deakin Research Commercial,Deakin Research Commercial,http://www.deakin.edu.au/,,Geelong,
Decode Science Pty Ltd,Decode Science Pty Ltd,https://decodescience.com.au/,"3/247 Ferntree Gully Rd, Mount Waverley, 3149 AUSTRALIA",Melbourne,
Deloitte,Deloitte,https://www2.deloitte.com/au/en/pages/about-deloitte/articles/about-deloitte-australia.html,,,
Department of Environment and Science (QLD),Department of Environment and Science (QLD),http://www.des.qld.gov.au/,,Brisbane,
"Department of Jobs, Skills, Industry and Regions (VIC)","Department of Jobs, Skills, Industry and Regions (VIC)",https://djsir.vic.gov.au/what-we-do/industry-and-innovation,,Melbourne,
"Department of Jobs, Tourism, Science and Innovation (WA)","Department of Jobs, Tourism, Science and Innovation (WA)",https://www.wa.gov.au/organisation/department-of-jobs-tourism-science-and-innovation,,Perth,
"Department of State Development, Infrastructure, Local Government & Planning (QLD)","Department of State Development, Infrastructure, Local Government & Planning (QLD)",http://www.dsdmip.qld.gov.au/,,Brisbane,
Diagnostic Technology Pty Ltd,Diagnostic Technology Pty Ltd,https://www.diagnostictechnology.com.au/,"Suite 45, 7 Narabang Way, Belrose, NSW, 2085, Australia",Sydney,
Dimerix Limited,Dimerix Limited,http://dimerix.com/,"425 Smith Street, Fitzroy VIC, 3065 Australia",Melbourne,
DLA Piper Australia,DLA Piper Australia,https://www.dlapiper.com/,,,
DMTC Ltd,DMTC Ltd,https://dmtc.com.au/,"Level 1, 620 High Street, Kew VIC  3101",Melbourne,
Doherty Clinical Trials Ltd,Doherty Clinical Trials Ltd,https://www.dohertyclinicaltrials.com/,,,
Douglas Pharmaceuticals Ltd,Douglas Pharmaceuticals Ltd,https://www.douglas.co.nz/,"2 Te Pai Pl, Henderson, Auckland 0610, New Zealand",Auckland,
E&P Financial Group,E&P Financial Group,http://eap.com.au/,"Level 32, 1 O’Connell Street, Sydney NSW 2000",Sydney,
,E&P Financial Group,http://eap.com.au/,"Level 9, 171 Collins Street, Melbourne VIC 3000",Melbourne,
,E&P Financial Group,http://eap.com.au/,"Level 6, 1 Constitution Avenue, Canberra ACT 2601",Canberra,
,E&P Financial Group,http://eap.com.au/,"Level 4, 1 Eagle Street, Brisbane QLD 4000",Brisbane,
Edith Cowan University,Edith Cowan University,https://www.ecu.edu.au/,"270 Joondalup Drive, Joondalup WA 6027 Australia",Perth,
Emyria Ltd,Emyria Ltd,https://emyria.com/,"D2 661 Newcastle Street, Leederville WA 6007",Perth,
ENA Respiratory,ENA Respiratory,https://enarespiratory.com/,,,
Encap Solutions Pty Ltd,Encap Solutions Pty Ltd,https://www.encapsolutions.com.au/,"Building 53/11 Julius Ave, North Ryde NSW 2113 Australia",Sydney,
Endpoints Capital,Endpoints Capital,https://endpointscapital.com.au/,81-83 Campbell Street Surry Hill NSW 2010,Sydney,
EnGeneIC,EnGeneIC,https://engeneic.com/,"Level 4, Building 53, 11 Julius Avenue, North Ryde, NSW Australia 2113",Sydney,
EpiAxis TherapeuticsEpichem Pty Ltd,EpiAxis TherapeuticsEpichem Pty Ltd,https://www.epiaxistherapeutics.com/,,,
Epichem Pty Ltd,Epichem Pty Ltd,https://epichem.com.au/,"Suite 11, 3 Brodie-Hall Drive, Technology Park, Bentley WA 6102, Australia",Perth,
Eppendorf,Eppendorf,www.eppendorf.com,"Level 1, 97 Waterloo Road, Macquarie Park, NSW 2113 AUSTRALIA",Sydney,info@eppendorf.com.au
ERA Consulting,ERA Consulting,https://www.biopharma-excellence.com/,,,
ESFAM Biotech,ESFAM Biotech,https://esfambiotech.com.au/,"Level 5, Townsend Building, Sudley Road, Heidelberg Victoria 3084, Australia",Melbourne,
Eurofins,Eurofins,https://www.eurofins.com.au/,,,
Eurofins | ams,Eurofins | ams,http://www.amslabs.com.au/,179 Magowar Road GIRRAWEEN   NSW  2145 ,Sydney,
Eversana,Eversana,https://www.eversana.com/,"146 Arthur Street, Suite 902, Level 9, North Sydney, Australia NSW 2060",Sydney,
Evrima Technologies Pty Ltd,Evrima Technologies Pty Ltd,https://www.evrima.com/,,,
Exigence,Exigence,https://www.exigence.com.au/,"Level 2, 116 Hardware Street Melbourne VIC 3000",Melbourne,
"Facet Life Sciences, inc.","Facet Life Sciences, inc.",http://facetlifesciences.com/,,,
